Nome,Preço,Link
"Placa de Vídeo XFX Speedster QICK319 AMD Radeon RX 6700XT Black Gaming, 16Gbps, 12GB GDDR6, AMD RDNA 2 Architecture - RX-67XTYPBDP",4352.82,https://www.kabum.com.br/produto/165713/placa-de-v-deo-xfx-speedster-qick319-amd-radeon-rx-6700xt-black-gaming-16gbps-12gb-gddr6-amd-rdna-2-architecture-rx-67xtypbdp
"Processador AMD Ryzen 5 5600X, Cache 35MB, 3.7GHz (4.6GHz Max Turbo), AM4, Sem Vídeo  - 100-100000065BOX",1517.53,https://www.kabum.com.br/produto/129451/processador-amd-ryzen-5-5600x-cache-35mb-3-7ghz-4-6ghz-max-turbo-am4-sem-v-deo-100-100000065box
"Memória XPG Gammix D45, 8GB, 3200MHz, DDR4, CL16, Preta - AX4U32008G16A-CBKD45",282.24,https://www.kabum.com.br/produto/166052/mem-ria-xpg-gammix-d45-8gb-3200mhz-ddr4-cl16-preta-ax4u32008g16a-cbkd45
"Monitor Gamer Zowie XL2411K, 24 144Hz, 1ms, HDMI, Tecnologia DyAc Ajuste de Altura - 9H.LJPLB.QBL",2599.89,https://www.kabum.com.br/produto/131233/monitor-gamer-zowie-xl2411k-24-144hz-1ms-hdmi-tecnologia-dyac-ajuste-de-altura-9h-ljplb-qbl
"SSD XPG S41 TUF, 256GB, M.2, PCIe, Leituras: 3500MB/s, Gravações: 1000MB/s - AGAMMIXS41-256G-C",270.47,https://www.kabum.com.br/produto/127699/ssd-xpg-s41-tuf-256gb-m-2-pcie-leituras-3500mb-s-grava-es-1000mb-s-agammixs41-256g-c
"SSD XPG S41 TUF, 512GB, M.2, PCIe, Leituras: 3500MB/s e Gravações: 2400MB/s - AGAMMIXS41-512G-C",446.94,https://www.kabum.com.br/produto/127700/ssd-xpg-s41-tuf-512gb-m-2-pcie-leituras-3500mb-s-e-grava-es-2400mb-s-agammixs41-512g-c
"Water Cooler XPG Levante 240,  240mm, ARGB - LEVANTE240-BKCWW",788.12,https://www.kabum.com.br/produto/108785/water-cooler-xpg-levante-240-240mm-argb-levante240-bkcww
"Gabinete Gamer XPG Starker Compact, Mid Tower, 2x FAN (1x Traseira ARGB, 1x Frontal), Lateral em Vidro Temperado, Preto - 75260179",1294.0,https://www.kabum.com.br/produto/144984/gabinete-gamer-xpg-starker-compact-mid-tower-2x-fan-1x-traseira-argb-1x-frontal-lateral-em-vidro-temperado-preto-75260179
"Fonte XPG Core Reactor, 750W, 80 Plus Gold Modular",764.59,https://www.kabum.com.br/produto/103281/fonte-xpg-core-reactor-750w-80-plus-gold-modular
"Placa-Mãe Asus TUF Gaming X570-PLUS/BR,  AMD AM4, ATX, DDR4",1764.59,https://www.kabum.com.br/produto/108346/placa-m-e-asus-tuf-gaming-x570-plus-br-amd-am4-atx-ddr4
